Product ID1,Product ID2,Category,Product Name,Price,Details,On Promo,Original Price,Promo Date
p3300,211454,Grocery Range Sparkling Wines,Prosecco Spumante DOC 11%,€ 10.99,Allini,No,,
p2842,209546,Grocery Range Sparkling Wines,Cava Brut DO 11.5%,€ 10.99,Arestel,No,,
p3764,211314,Grocery Range White Wines,Sauvignon Blanc Pays d'Oc IGP 12%,€ 7.17,Chevalier de Fauvert,No,,
p18058,211802,Super Savers,Deluxe Confit Duck Legs,€ 2.99,,Yes,Was €3.99,From 02.12
p18057,245768,Super Savers,Deluxe 2 Irish Angus Beef Burgers,€ 1.89,,Yes,Was €2.39,From 02.12
p18059,211873,Super Savers,Fresh Chicken Breast Fillets,€ 2.19,,Yes,Was €2.89,From 02.12
p18056,221988,Super Savers,Smoked/Unsmoked Bacon Joint,€ 2.99,,Yes,Was €3.49,From 02.12
p18055,232959,Super Savers,2 Salmon Darnes,€ 2.99,,Yes,Was €3.75,From 02.12
p18060,249006,Super Savers,Deluxe Irish Angus Lean Diced Steak,€ 2.79,,Yes,Was €3.29,From 02.12
p17895,229910,Super Savers,Irish Lean Beef Steak Mince,€ 3.89,,Yes,Was €4.89,From 25.11
p17896,211873,Super Savers,Fresh Chicken Breast Fillets,€ 2.19,,Yes,Was €2.89,From 25.11
p17730,906942,Deluxe Festive Specialities,Deluxe Marinated Jumbo Prawns,€ 5.99,,Yes,,From 18.11
p17903,222222,Super Savers,Spring Onions,€ 0.49,,Yes,Was 69c,From 25.11
p17729,215149,Deluxe Festive Specialities,Deluxe Three Fish Roast,€ 6.99,,Yes,,From 18.11
p18080,5307456,Deluxe Festive Specialities,Deluxe Hot Smoked Salmon,€ 3.99,,Yes,Only,From 02.12
p17728,138072,Deluxe Festive Specialities,Deluxe Wild Salmon Caviar,€ 3.99,,Yes,,From 18.11
p17727,203689,Deluxe Festive Specialities,Deluxe Octopus Carpaccio,€ 3.59,,Yes,,From 18.11
p17725,139242,Deluxe Festive Specialities,Deluxe Salmon in Puff Pastry,€ 4.99,,Yes,,From 18.11
p17726,212567,Deluxe Festive Specialities,Deluxe Organic Irish Salmon,€ 5.49,,Yes,,From 18.11
p17724,132723,Deluxe Festive Specialities,Deluxe Prawn Ring,€ 5.29,,Yes,,From 18.11
p4694,232171,Summer BBQ,Curry Ketchup,€ 0.99,Kania,Yes,Multi-buy 2 For €1.50,From 27.05
p4707,207706,Summer BBQ,Bacon Snack,€ 0.99,Snack Day,Yes,Multi-buy 2 For €1.50,From 27.05
p14657,234515,Summer Ice Cream,Gelatelli Lactose Free Ice Cream,€ 3.99,,No,,
p12049,252873,Summer BBQ,Macarons,€ 4.49,Confiserie Firenze,Yes,,From 27.05
p9687,218503,Summer BBQ,Pulled Pork with Whiskey,€ 3.99,My Street Food,No,,
p11261,225871,Summer BBQ,Whole Rainbow Trout,€ 3.99,Ocean Sea,Yes,Multi-buy 2 For €6,From 27.05
p11232,202556,Summer BBQ,Onion Flavoured Rings,€ 0.69,Snack Day,Yes,Multi-buy 2 For €1,From 27.05
p17786,109794,Plants & Flowers,Assorted Succulents,€ 2.49,,Yes,Only,From 18.11
p4668,215498,Summer BBQ,Grape Spritzers,€ 1.69,Freeway,Yes,,From 27.05
p17784,55348,Plants & Flowers,Christmas Cactus,€ 1.99,,Yes,Only,From 18.11
p11251,219379,Summer Ice Cream,Gluten Free Ice Cream Cones,€ 2.99,Gelatelli,No,,
p11240,252872,Summer BBQ,Strong Beer 10%,€ 5.49,Faxe,Yes,,From 27.05
p17785,120846,Plants & Flowers,Christmas Rose (Helleborus Niger),€ 7.99,,Yes,Only,From 18.11
p17783,146713,Plants & Flowers,Bouvardia,€ 3.99,,Yes,Only,From 18.11
p11257,217373,Summer BBQ,Halloumi Cheese,€ 2.49,Eridanous,Yes,,From 27.05
p13825,254512,Summer BBQ Food,Asian Salad Bag Kit,€ 1.99,Nature's Best,No,,
p13364,152292,Summer BBQ Food,Cocktails,€ 1.49,,Yes,,From 10.06
p186,232549,Summer BBQ Food,Italian Prosciutto,€ 1.99,Deluxe,No,,
p11355,200374,Summer BBQ Food,Pizza Dough And Tomato Sauce,€ 1.99,Italiamo,No,,
p13827,254517,Summer BBQ Food,Grain Salads,€ 1.99,Nature's Best,No,,
p13816,bitterol,Summer BBQ Food,Bitterol Aperitivo Italiano 11%,€ 7.99,Bitterol,No,,
p13826,254535,Summer BBQ Food,Chipotle Salad Bag Kit,€ 1.99,Nature's Best,No,,
p14758,hardseltzer,Summer BBQ Food,Sunrise Hard Seltzers,€ 1.49,,Yes,Only,From 29.07
p7775,213311,Gin Festival,Premium Ice Cubes,€ 0.80,Gelatelli,No,,
p13824,255408,Summer BBQ Food,Super Food Salad,€ 2.99,Nature’s Best,No,,
p3838,202549,Grocery Range Sparkling Wines,Prosecco Treviso Frizzante DOC 10.5%,€ 7.99,Allini,No,,
p11353,212408,Summer BBQ Food,Barbeque Charcoal,€ 3.99,,No,,
p4777,245341,Summer BBQ Food,Boneless & Skinless Chicken Thighs,€ 3.49,,No,,
p4794,233815,Summer BBQ Food,Burger Sauce,€ 1.29,Batts,No,,
p420,210696,Summer BBQ Food,6 Hot Dog Rolls,€ 0.79,Connell Bakery,No,,
p11236,245346,Summer BBQ Food,Chicken Thigh Kebabs,€ 2.99,,No,,
p814,200694,Summer BBQ Food,Pickled Gherkins,€ 1.19,Freshona,No,,
p11234,236790,Summer BBQ Food,Chicken Burgers,€ 2.99,,No,,
p4650,219289,Summer BBQ Food,Smokey Texan Chicken Drumsticks,€ 2.49,,No,,
p4791,245771,Summer BBQ Food,Peppered Irish Beef Grillsteaks,€ 2.79,,No,,
p11352,255107,Summer BBQ Food,Irish Quick Cook Chargrill Beef Burgers,€ 3.99,,No,,
p1430,215629,Summer BBQ Food,Flavoured Mayonnaise,€ 0.85,Batts,No,,
p4748,241348,Summer BBQ Food,Brioche Burger Buns,€ 1.09,Deluxe,No,,
p7515,229415,Summer BBQ Food,Irish Skinny Beef Burgers,€ 1.89,,No,,
p324,210700,Summer BBQ Food,6 Seeded Burger Buns,€ 0.69,Connell Bakery,No,,
p4618,205898,Summer BBQ Accessories,Fire Lighter,€ 0.99,Grillmeister,Yes,,From 27.05
p1183,212433,Summer BBQ Food,2 Irish Striploin Steaks,€ 5.49,Inisvale,No,,
p4486,229882,Summer BBQ Food,Irish Beef Mince 18% Fat,€ 3.99,,No,,
p11286,241793,Summer BBQ Accessories,Bamboo Skewers,€ 1.25,,Yes,,From 27.05
p1777,229898,Summer BBQ Food,Matured Medallion Steaks,€ 3.99,Inisvale,No,,
p1780,229897,Summer BBQ Food,2 Irish Sirloin Steaks Matured For 28 Days,€ 4.29,Inisvale,No,,
p2718,229535,Summer BBQ Food,American Style Thick Cut Bacon,€ 1.29,Glensallagh,No,,
p4657,232594,Summer BBQ Accessories,Deep Paper Plates,€ 0.99,Grillmeister,Yes,,From 27.05
p1231,212011,Summer BBQ Food,2 Irish Rib Eye Steaks,€ 5.29,Inisvale,No,,
p4653,204592,Summer BBQ Accessories,Instant BBQ,€ 2.49,Grillmeister,Yes,,From 27.05
p4706,232606,Summer BBQ Accessories,Paper Plates,€ 2.49,Grillmeister,Yes,,From 27.05
p11282,208313,Summer BBQ Accessories,Paper Tablecloth,€ 2.29,Grillmeister,Yes,,From 27.05
p4655,204591,Summer BBQ Accessories,Aluminium BBQ Trays,€ 2.49,Grillmeister,Yes,,From 27.05
p4692,232830,Summer BBQ Accessories,Beer Cups,€ 1.79,Grillmeister,Yes,,From 27.05
p11265,241897,Summer BBQ Accessories,Paper Cups,€ 2.49,Grillmeister,Yes,,From 27.05
p4621,206623,Summer BBQ Accessories,BBQ Aluminium Foil,€ 1.49,Grillmeister,Yes,,From 27.05
p4622,204595,Summer BBQ Accessories,BBQ Firelighters,€ 2.49,Grillmeister,Yes,,From 27.05
p4658,232541,Summer BBQ Accessories,Paper Straws,€ 0.79,Grillmeister,Yes,,From 27.05
p12282,251462,Summer Ice Cream,Vegan Ice Cream,€ 2.99,Gelatelli,No,,
p11258,241162,Summer Ice Cream,Strawberry & Mandarin Slushie,€ 1.99,Gelatelli,No,,
p4676,202737,Summer BBQ Accessories,BBQ Cleaner,€ 2.49,Grillmeister,Yes,,From 27.05
p88,203945,Summer Ice Cream,Space Runners Fruit Lollies,€ 1.69,Gelatelli,No,,
p11246,241164,Summer Ice Cream,Iced Coconut & Pineapple Slushie,€ 1.99,Gelatelli,No,,
p13755,60649,Summer Ice Cream,Ice Cream Cookie,€ 1.99,Gelatelli,No,,
p11266,204561,Summer BBQ Accessories,Patterned Paper Cups,€ 2.49,Grillmeister,Yes,,From 27.05
p17774,55347,Plants & Flowers,Azalea,€ 2.99,,Yes,Only,From 18.11
p11245,233799,Summer Ice Cream,Gluten Free Ice Cream Sandwiches,€ 2.99,Gelatelli,No,,
p11421,12509,Summer Ice Cream,Ice Cream Pots,€ 1.79,Gelatelli,No,,
p17770,55312,Plants & Flowers,Large Poinsettia,€ 8.99,,Yes,Only,From 18.11
p17772,135643,Plants & Flowers,Anthurium Jambo Red,€ 5.99,,Yes,Only,From 18.11
p11349,251135,Summer Ice Cream,Low Calorie Ice Cream,€ 2.79,Dairy Farm,No,,
p12531,235726,Summer Ice Cream,Swirled Ice Pops,€ 1.39,Gelatelli,No,,
p10781,227908,Summer Ice Cream,Summertime Cones,€ 2.29,Gelatelli,No,,
p4632,212352,Summer BBQ,BBQ Marshmallows,€ 2.99,Mcennedy,Yes,,From 27.05
p17773,58380,Plants & Flowers,Mini Rose,€ 2.49,,Yes,Only,From 18.11
p12794,213855,Summer BBQ,Hot Sauce,€ 1.99,Batt's,Yes,,From 27.05
p7493,229488,Summer BBQ,Prawn Ring with Sauce,€ 5.49,Deluxe,Yes,,From 27.05
p17771,153852,Plants & Flowers,Christmas Rose Bowl,€ 9.99,,Yes,Only,From 18.11
p17769,55314,Plants & Flowers,Medium Poinsettia,€ 2.99,,Yes,Only,From 18.11
p17768,6798,Plants & Flowers,Mini Poinsettia,€ 1.89,,Yes,Only,From 18.11
p11253,206981,Summer BBQ,Cloudy Radler 2.5%,€ 0.99,Perlenbacher,Yes,,From 27.05
p10819,65995,Summer BBQ,Spare Ribs,€ 3.99,Grillmeister,Yes,Multi-buy 2 For €6,From 27.05
p17722,28370,Deluxe Festive Specialities,Deluxe Whole Lobster,€ 8.99,,Yes,,From 18.11
p18081,238601,Deluxe Festive Specialities,Deluxe Irish Vintage Cheddar Truckle,€ 4.99,,Yes,Only,From 02.12
p18079,6009589,Deluxe Festive Specialities,Deluxe Salami with Truffle,€ 4.49,,Yes,Only,From 02.12
p17723,155965,Deluxe Festive Specialities,Deluxe Scallops,€ 6.49,,Yes,,From 18.11
p18076,6000078,Deluxe Festive Specialities,Deluxe Tagliolini with Truffle,€ 1.79,,Yes,Only,From 02.12
p18086,232324,Deluxe Festive Specialities,The Crafty Brewing Company 12 Beers of Christmas Gift Box,€ 19.99,,Yes,Only,From 02.12
p18083,215974,Deluxe Festive Specialities,Deluxe Premium Sausage Rolls,€ 1.79,,Yes,Only,From 02.12
p18078,5907094,Deluxe Festive Specialities,Snack Day Black Truffle Crisps,€ 1.49,,Yes,Only,From 02.12
p18084,249778,Deluxe Festive Specialities,Deluxe Brown Crab Claws,€ 9.99,,Yes,Only,From 02.12
